Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount
Worms Revolution: Medieval Tales DLC,['win'],-75%,$4.99,$1.24,0%,0
Worms Revolution - Mars Pack,['win'],-75%,$4.99,$1.24,0%,0
Worms Revolution: Funfair DLC,['win'],-75%,$4.99,$1.24,0%,0
Inertia,['win'],-74%,$2.99,$0.77,80%,99
Rocket League® – Fast & Furious™ DLC Bundle,['win'/ 'mac'/ 'lin'],-50%,$4.99,$2.49,89%,1364
One Bit Arena,['win'],-83%,$2.99,$0.50,00%,13
Barbarian Souls,['win'],-90%,$7.99,$0.79,58%,24
NeonCode,['win'/ 'mac'/ 'lin'],-40%,$2.99,$1.79,0%,0
The Dark Eye Universe Bundle,['win'],-90%,$34.99,$3.49,77%,4228
Rocket League® – Fast & Furious™ '99 Nissan Skyline GT-R R34,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,90%,754
Rocket League® – Fast & Furious™ '70 Dodge® Charger R/T,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,86%,156
Choice,['win'],-90%,$4.99,$0.49,0%,0
Elevator Ritual,['win'],-83%,$2.99,$0.50,0%,0
MEANDERS,['win'],-70%,$2.99,$0.89,94%,155
Rocket League® - Jurassic World™ Car Pack,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,87%,302
Degeneration,['win'],-70%,$4.99,$1.49,0%,0
Worms World Party Remastered,['win'],-75%,$14.99,$3.74,55%,475
Witch The Bloodlines,['win'],-60%,$14.99,$5.99,80%,10
Fitzzle Mighty Bears,['win'],-80%,$2.99,$0.59,80%,10
Trivia Vault: Celebrity Trivia,['win'],-75%,$1.99,$0.49,0%,0
Star Trek™: Bridge Crew,['win'/ 'hmd'/ 'htc'/ 'ocu'/ 'win'],-50%,$39.99,$19.99,82%,1014
Blood Feed,['win'/ 'mac'/ 'lin'],-90%,$4.99,$0.49,66%,253
Trivia Vault: Movie Trivia,['win'],-75%,$1.99,$0.49,0%,0
The Putinland: Divide & Conquer,['win'],-75%,$1.99,$0.49,0%,0
Season Up,['win'],-75%,$1.99,$0.49,00%,12
CosmoDrive: Zero,['win'],-40%,$0.99,$0.59,0%,0
Rocket League®  - The Fate of the Furious™ Ice Charger,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,89%,454
BANG! BANG! Totally Accurate Redneck Simulator,['win'/ 'lin'],-70%,$2.99,$0.89,92%,39
Inca Marbles,['win'/ 'mac'/ 'lin'],-75%,$1.99,$0.49,64%,14
Trivia Vault: Golf Trivia,['win'],-75%,$1.99,$0.49,84%,13
Grimoire Chronicles,['win'],-88%,$3.99,$0.49,73%,15
Battlefleet Gothic: Armada 2,['win'],-10%,$39.99,$35.99,0%,0
Hard Place,['win'],-75%,$1.99,$0.49,00%,13
蓝宝石般的被害妄想少女/Damsel with persecutory delusion,['win'],-40%,$4.99,$2.99,0%,0
ASTRAL,['win'/ 'mac'/ 'lin'],-40%,$9.99,$5.99,80%,10
Drink 'Em,['win'],-50%,$9.99,$4.99,00%,10
Ink Plane,['win'],-51%,$0.99,$0.49,81%,11
Ashes of Immortality II - Bad Blood,['win'],-90%,$6.99,$0.69,0%,0
Trivia Vault: Soccer Trivia,['win'],-75%,$1.99,$0.49,0%,0
The Night of the Rabbit Premium Edition,['win'/ 'mac'],-90%,$24.99,$2.49,90%,1393
Loader,['win'],-75%,$1.99,$0.49,0%,0
iZBOT,['win'],-90%,$11.99,$1.19,82%,103
Darksiders II Deathinitive Edition,['win'],,								$29.99,								$29.99,74%,5772
Immortal: Unchained - Primes Pack,['win'],-50%,$4.99,$2.49,0%,0
Explosive Pursuit,['win'],-40%,$0.99,$0.59,0%,0
Neon Arena,['win'/ 'hmd'/ 'htc'/ 'ocu'],-90%,$4.99,$0.49,68%,58
Undefeated,['win'],-90%,$9.99,$0.99,81%,74
Magic Siege - Defender,['win'/ 'mac'],-80%,$2.99,$0.59,40%,22
In Memory,['win'/ 'hmd'/ 'htc'/ 'ocu'],-50%,$4.99,$2.49,0%,0
Monkey Slap,['win'],-75%,$1.99,$0.49,78%,19
Snow Ash Land,['win'],-40%,$24.99,$14.99,0%,0
Zquirrels Jump,['win'],-40%,$2.99,$1.79,0%,0
Thorne - Son of Slaves (Ep.2),['win'],-88%,$3.99,$0.49,75%,33
Outbreak: The New Nightmare,['win'/ 'mac'/ 'lin'],-70%,$12.99,$3.89,73%,160
Immortal: Unchained - Midas Touched,['win'],-50%,$1.99,$0.99,0%,0
Floor Massacre,['win'],-51%,$0.99,$0.49,81%,11
Rocket League x Monstercat Vol. 4,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,0%,0
Silent Descent,['win'],-65%,$8.99,$3.14,78%,56
The Last NightMary - A Lenda do Cabeça de Cuia,['win'/ 'mac'/ 'lin'],-90%,$4.99,$0.49,79%,482
Cavern of Time,['win'],-88%,$3.99,$0.49,65%,35
Thorne - Death Merchants,['win'],-88%,$3.99,$0.49,76%,107
Worms,['win'],-80%,$7.99,$1.59,85%,215
Quixzel Rush Halloween Party,['win'],-51%,$0.99,$0.49,0%,0
The Night of the Rabbit Premium Edition Upgrade,['win'/ 'mac'],-90%,$4.99,$0.49,0%,0
PRO FISHING SIMULATOR,['win'],-15%,$39.99,$33.99,0%,0
Quixzel Rush Pumpkin Bash,['win'],-51%,$0.99,$0.49,0%,0
All Alone: VR,['win'/ 'hmd'/ 'htc'],-87%,$3.99,$0.51,69%,26
Pixel Stories of Dungeon,['win'],-60%,$9.99,$3.99,0%,0
Tank Destroyer,['win'],-83%,$2.99,$0.50,78%,230
Treasure of a Blizzard,['win'/ 'mac'/ 'lin'],-70%,$14.99,$4.49,82%,79
SKYHILL,['win'/ 'mac'/ 'lin'],-75%,$14.99,$3.74,70%,889
The Haunted Island  a Frog Detective Game,['win'/ 'mac'],-10%,$4.99,$4.49,98%,91
Moonchild - Deluxe Contents,['win'],-90%,$14.99,$1.49,0%,0
Blood Ties,['win'],-88%,$3.99,$0.49,50%,32
Soul Gambler: Dark Arts Edition,['win'],-87%,$3.99,$0.51,88%,1906
Soul Gambler,['win'],-87%,$3.99,$0.51,88%,1864
Zombie Clicker Defense,['win'],-75%,$1.99,$0.49,52%,21
Crispy Chicken,['win'],-85%,$4.99,$0.74,51%,181
Valiant: Resurrection,['win'],-90%,$9.99,$0.99,77%,27
Grass Cutter,['win'/ 'mac'/ 'lin'],-75%,$4.99,$1.24,88%,158
The Hardest Dungeon,['win'],-10%,$7.99,$7.19,81%,16
The Experiment: Escape Room,['win'/ 'hmd'/ 'htc'/ 'ocu'],-10%,$3.99,$3.59,91%,12
MAGIX Music Maker 2016 Live,['win'],-80%,$69.99,$13.99,44%,25
Finding Hope,['win'],-84%,$2.99,$0.49,64%,28
Chop is dish,['win'],-30%,$0.99,$0.69,0%,0
Epic Quest of the 4 Crystals,['win'],-90%,$12.99,$1.29,65%,23
Worms Crazy Golf,['win'/ 'mac'],-75%,$9.99,$2.49,84%,208
IMAZE.EXE,['win'],-40%,$0.99,$0.59,0%,0
Mixcraft 8 Home Studio,['win'],-50%,$39.99,$19.99,92%,64
Woodpunk,['win'],-10%,$19.99,$17.99,0%,0
Clicker: Glad Valakas,['win'],-40%,$1.99,$1.19,0%,0
Soul Gambler: Artbook & Soundtrack,['win'],-87%,$3.99,$0.51,88%,42
Beyond Magic,['win'],-84%,$2.99,$0.49,68%,16
Arvale,['win'],-90%,$7.99,$0.79,66%,36
Black Home,['win'],-90%,$9.99,$0.99,69%,26
Girlfriend Rescue,['win'],-86%,$6.99,$0.97,75%,57
Wells,['win'/ 'mac'],-80%,$3.99,$0.79,77%,61
Quest room: Hanon,['win'],-33%,$2.99,$2.00,80%,30
Redium,['win'],-75%,$1.99,$0.49,0%,0
Elon Musk Simulator 2,['win'],-30%,$1.99,$1.39,78%,19
Trap Labs,['win'/ 'mac'],-25%,$9.99,$7.49,0%,0
Elon Musk Simulator 2,['win'],-30%,$1.99,$1.39,78%,19
Metal Tales: Fury of the Guitar Gods,['win'/ 'mac'/ 'lin'],-75%,$6.99,$1.74,88%,34
Blind Boris,['win'/ 'mac'/ 'lin'],-70%,$5.99,$1.79,0%,0
SIG,['win'],-51%,$0.99,$0.49,0%,0
Aircraft Evolution - Skins for aircrafts,['win'],-50%,$1.99,$0.99,0%,0
MEMORIES OF MARS,['win'],-50%,$19.99,$9.99,58%,524
Minaurs,['win'/ 'mac'],-50%,$5.99,$2.99,0%,0
Ashes of Immortality,['win'],-90%,$9.99,$0.99,66%,33
Lycah,['win'],-75%,$4.99,$1.24,0%,0
Rocket League x Monstercat Vol. 3,['win'/ 'mac'/ 'lin'],-50%,$1.99,$0.99,0%,0
Dinosaur Forest,['win'/ 'mac'/ 'lin'],-75%,$1.99,$0.49,55%,386
ButcherBoy,['win'/ 'mac'/ 'lin'],-51%,$0.99,$0.49,75%,16
!LABrpgUP!,['win'],-51%,$0.99,$0.49,0%,0
Defense the Farm,['win'],-51%,$0.99,$0.49,93%,16
the Line,['win'/ 'mac'/ 'lin'],-70%,$3.99,$1.19,68%,16
Road Scars: Origins,['win'],-51%,$0.99,$0.49,80%,52
ACID Music Studio 10 - Steam Powered,['win'],-75%,$49.99,$12.49,61%,44
Quanect,['win'],-62%,$1.99,$0.75,66%,21
Wars and Battles: October War,['win'/ 'mac'],-10%,$12.99,$11.69,0%,0
Give Me Your Coins,['win'],-20%,$1.99,$1.59,0%,0
Qipa World-Hello Big Adventure,['win'/ 'mac'/ 'lin'],-20%,$1.99,$1.59,0%,0
Transference™,['win'/ 'hmd'/ 'htc'/ 'ocu'],-25%,$24.99,$18.74,77%,77
Freezeer,['win'],-51%,$0.99,$0.49,75%,12
Time in Time,['win'],-75%,$1.99,$0.49,66%,42
NOCE,['win'],-10%,$17.99,$16.19,0%,0
