Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount,,
Naughty study for exams with a ghost,['win'],-50%,$1.99 ,$1.19 ,0%,0,,
Love Casino: Smoking Aces,['win'/ 'mac'],,$4.99 ,$3.24 ,0%,0,,
Red points,['win'],-51%,$0.99 ,$0.60 ,0%,0,,
Hentai MineSweeper - Endless Mode,['win'/ 'mac'],-51%,$3.99 ,$2.39 ,0%,0,,
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien Soundtrack,['win'/ 'mac'/ 'lin'],-51%,$9.99 ,$0.99 ,0%,0,,
The Sounds of A Place in the West,['win'/ 'mac'/ 'lin'],-30%,$5.98 ,$4.71 ,0%,0,,
Escape From The Dragons,['win'/ 'mac'],,$0.99 ,$0.59 ,0%,0,,
Qbike: Crypto Motorcycles,['win'/ 'mac'/ 'lin'],-25%,$5.99 ,$2.09 ,0%,0,,
Shoottris: Beyond the Classic Game,['win'],-50%,$4.99 ,$2.49 ,0%,0,,
Fishing Sim World: Quad Lake Pass,['win'],-50%,$36.99 ,$29.59 ,0%,0,,
ARTé: Mecenas®,['win'/ 'mac'],,$19.99 ,$17.99 ,0%,0,,
Echoes III Complete Bundle,['win'],-50%,$12.98 ,$7.48 ,0%,0,,
Truth Of Falchion: Bundle Extendet,['win'],,,,0%,0,,
JumpingBoy,['win'],-50%,$0.99 ,$0.59 ,0%,0,,
Professor Watts Memory Match: Expressions,['win'],-30%,$0.99 ,$0.49 ,0%,0,,
Stunt Island,['win'/ 'mac'],-51%,$9.99 ,$5.99 ,0%,0,,
Pixel Bombs,['win'],,$0.99 ,$0.59 ,0%,0,,
RUN,['win'/ 'hmd'/ 'htc'/ 'ocu'],,$1.99 ,$0.67 ,0%,0,,
祛魅·入灭（祛魅2） - Disenchantment Nirvana,['win'],-33%,$6.99 ,$5.24 ,0%,0,,
Space Guard,['win'],-67%,$0.99 ,$0.59 ,0%,0,,
IronBorn,['win'],-50%,$4.99 ,$2.49 ,0%,0,,
Mahjong Magic Journey 2,['win'/ 'mac'],-51%,$4.99 ,$2.99 ,0%,0,,
Santa Runner,['win'],-30%,$0.99 ,$0.59 ,0%,0,,
Dr. Who: Daleks Invasion of Earth 2150 AD,['str'],-72%,$2.99 ,$1.79 ,0%,0,,
Colonization of the Moon,['win'],,$0.99 ,$0.59 ,0%,0,,
BIT.TRIP FLUX Soundtrack,['win'/ 'mac'],-51%,$5.99 ,$0.95 ,0%,0,,
Cosmic Top Secret + Soundtrack,['win'/ 'mac'],-30%,$19.98 ,$16.63 ,0%,0,,
NukGames Soundtrack Pack,['win'],,$5.94 ,$1.10 ,0%,0,,
The Bad Gravedigger - Insurrection,['win'],-87%,$1.99 ,$1.19 ,0%,0,,
Asterix & Obelix XXL 2,['win'],,$29.99 ,$26.99 ,0%,0,,
TAL: Jungle - Soundtrack,['win'],,$0.99 ,$0.59 ,0%,0,,
Dangerous Lands - Soundtrack,['win'],-50%,$0.99 ,$0.49 ,0%,0,,
The Occluder: Soundtrack,['win'],-30%,$0.99 ,$0.59 ,0%,0,,
Dr. Who & The Daleks,['str'],,$3.99 ,$2.39 ,0%,0,,
Dalekmania,['str'],-50%,$2.99 ,$1.79 ,0%,0,,
Alpha & Beta,['win'],-50%,$4.99 ,$2.99 ,0%,0,,
RollTheEarth,['win'],-33%,$1.99 ,$1.09 ,0%,0,,
Hyper Simon X: Original Soundtrack,['win'],,$0.99 ,$0.49 ,0%,0,,
WAR_WAR_WAR: Smiles vs Ghosts,['win'],,$0.99 ,$0.49 ,0%,0,,
Misfit,['win'],-30%,$29.99 ,$16.49 ,0%,0,,
Christmas Carol,['win'],,$9.99 ,$6.99 ,0%,0,,
REVENGER: Age of Morons,['win'],-30%,$0.99 ,$0.49 ,0%,0,,
Robothorium - Skin pack,['win'/ 'mac'/ 'lin'],-90%,$1.99 ,$1.33 ,0%,0,,
Strike Force Remastered,['win'],,$4.99 ,$4.49 ,0%,0,,
Blackguards Deluxe Edition,['win'/ 'mac'],-50%,$14.99 ,$2.39 ,0%,0,,
Mighty Gemstones - Skins,['win'],-50%,$0.99 ,$0.49 ,0%,0,,
Reynard,['win'/ 'lin'],-30%,$8.99 ,$7.19 ,0%,0,,
ExtinctionArts,['win'],,$11.98 ,$3.27 ,0%,0,,
Lovestory,['win'],-30%,$5.99 ,$3.59 ,0%,0,,
A New Beginning - Final Cut Soundtrack,['win'/ 'mac'],,$2.99 ,$0.74 ,0%,0,,
Xenochamber,['win'/ 'mac'],-30%,$6.99 ,$4.89 ,0%,0,,
Spark Five,['win'/ 'mac'],-64%,$2.99 ,$2.09 ,0%,0,,
Armored Fighter,['win'],-10%,$2.99 ,$2.09 ,0%,0,,
Pixel Draw - Expansion Pack 6,['win'],-10%,$0.99 ,$0.74 ,0%,0,,
killer7: Digital Art Booklet,['win'],,$2.99 ,$2.69 ,0%,0,,
Amazing,['win'],-40%,$5.98 ,$2.28 ,0%,0,,
Wildlife Park 3 - Africa,['win'],,$9.99 ,$7.99 ,0%,0,,
Nelson and the Magic Cauldron,['win'/ 'mac'/ 'lin'],-40%,$14.99 ,$13.49 ,0%,0,,
Rogue Rails,['win'],-37%,$9.99 ,$7.49 ,0%,0,,
Infinitum - Soundtracks,['win'],,$1.99 ,$0.49 ,0%,0,,
ARENA 8,['win'],-60%,$0.99 ,$0.49 ,0%,0,,
Cult of the Glitch King,['win'],-39%,$7.99 ,$5.99 ,0%,0,,
Croquet Pro 2,['win'],,$6.99 ,$6.15 ,0%,0,,
Case Opener Guns,['win'],-66%,$1.99 ,$1.59 ,0%,0,,
Queen of Seas 2 - Original Sound Track,['win'],-33%,$0.99 ,$0.49 ,0%,0,,
Queen of Seas 2 - Wallpapers,['win'],-34%,$0.99 ,$0.49 ,0%,0,,
Legends of Koyannis,['win'],-15%,$4.99 ,$3.74 ,0%,0,,
Andarilho - Aliens,['win'],-45%,$0.99 ,$0.49 ,0%,0,,
Pixel Puzzles Ultimate - Puzzle Pack: Variety Pack 4,['win'],,$11.99 ,$9.59 ,0%,0,,
Taking Valhalla VR,['win'/ 'hmd'/ 'htc'],,$0.99 ,$0.49 ,0%,0,,
HappyBlock,['win'],-49%,$1.99 ,$1.19 ,0%,0,,
The 'I Love Money' Show,['win'/ 'mac'],,$1.99 ,$1.39 ,0%,0,,
Ralf,['win'],-64%,$9.99 ,$7.99 ,0%,0,,
WatchFamily,['win'],-41%,$0.99 ,$0.79 ,0%,0,,
Case Simulator Weapons and Armors,['win'],-67%,$2.99 ,$2.39 ,0%,0,,
Quiet as a Stone,['win'/ 'mac'],,$9.99 ,$8.99 ,0%,0,,
Lonely shooter,['win'/ 'mac'],-60%,$0.99 ,$0.79 ,0%,0,,
Psi Cards - Soundtrack,['win'/ 'mac'/ 'lin'],-90%,$0.99 ,$0.49 ,0%,0,,
Deadly Curse: Insane Nightmare,['win'/ 'mac'/ 'lin'],,$15.99 ,$11.19 ,0%,0,,
From The Sky: New Horizon,['win'],,$0.99 ,$0.59 ,0%,0,,
Anstorm,['win'],-80%,$0.99 ,$0.84 ,0%,0,,
Street Racing,['win'],,$14.99 ,$11.99 ,0%,0,,
Nonogram,['win'/ 'mac'/ 'lin'],-52%,$4.99 ,$4.49 ,0%,0,,
Suprapong,['win'],-33%,$8.99 ,$7.64 ,0%,0,,
HEAVEN AND HELL - the last war,['win'/ 'mac'/ 'lin'],-40%,$3.99 ,$3.19 ,0%,0,,
Rise of Crustaceans,['win'],,$3.99 ,$2.79 ,0%,0,,
Tabletopia - The Networks,['win'/ 'mac'],-80%,$5.99 ,$5.09 ,0%,0,,
Tabletopia - Between Two Castles of Mad King Ludwig,['win'/ 'mac'],,$5.99 ,$5.09 ,0%,0,,
Tabletopia - NOIR,['win'/ 'mac'],-10%,$5.99 ,$5.09 ,0%,0,,
Massive multiplayer war shooter,['win'/ 'mac'/ 'lin'],,$4.99 ,$4.24 ,0%,0,,
Chief's Quest,['win'],-40%,$4.99 ,$4.24 ,0%,0,,
Mahjong Secrets,['win'/ 'mac'],,$5.99 ,$5.39 ,0%,0,,
Rampage Online,['win'],-72%,$1.99 ,$1.79 ,0%,0,,
My Super Tower 3 Soundtrack,['win'/ 'mac'/ 'lin'],-15%,$1.99 ,$1.19 ,0%,0,,
Siam Twinstick,['win'],-35%,$3.99 ,$3.51 ,0%,0,,
Geometry Runner Online,['win'],-40%,$0.99 ,$0.69 ,0%,0,,
Chronus Arc,['win'],,$12.99 ,$11.69 ,0%,0,,
Doodle Farm,['win'/ 'mac'/ 'lin'],-44%,$8.99 ,$7.64 ,0%,0,,
Little Adventurer III,['win'],,$1.99 ,$1.23 ,0%,0,,
Croquet Pro,['win'],-31%,$6.99 ,$6.15 ,0%,0,,
Brathian,['win'],,$2.99 ,$2.00 ,0%,0,,
Kumpels-Acquisition,['win'],,$3.99 ,$3.59 ,0%,0,,
Campido,['win'],-40%,$4.99 ,$4.49 ,0%,0,,
GameGuru - Antiques In The Attic Pack,['win'],,$29.99 ,$23.99 ,0%,0,,
Age of Fear: The World Map,['win'/ 'mac'/ 'lin'],-49%,$0.99 ,$0.49 ,0%,0,,
Steel Vampire Original Soundtrack,['win'],-26%,$2.99 ,$2.69 ,0%,0,,
Visual Novel Maker - Symphonic Adventure Music Vol.1,['win'/ 'mac'/ 'lin'],,$19.99 ,$17.99 ,0%,0,,
RPG Maker MV - Tyler Warren RPG Battlers Pixel-Style 1,['win'/ 'mac'/ 'lin'],-73%,$17.99 ,$16.19 ,0%,0,,
RPG Maker MV - Symphonic Adventure Music Vol.1,['win'/ 'mac'/ 'lin'],-56%,$19.99 ,$17.99 ,0%,0,,
RPG Maker MV - Retro Fantasy Music Pack Vol 2,['win'/ 'mac'/ 'lin'],-40%,$17.99 ,$16.19 ,0%,0,,
RPG Maker VX Ace - Tyler Warren RPG Battlers Pixel-Style 1,['win'],,$17.99 ,$16.19 ,0%,0,,
RPG Maker VX Ace - Symphonic Adventure Music Vol.1,['win'],,$19.99 ,$17.99 ,0%,0,,
VR Smash Park,['win'/ 'hmd'/ 'htc'/ 'win'],,$11.99 ,$10.79 ,0%,0,,
Bomber Arena,['win'],-93%,$4.99 ,$4.49 ,0%,0,,
RPG Maker MV - TOKIWA GRAPHICS Battle BG No.4 Dungeon/Cave,['win'/ 'mac'/ 'lin'],-35%,$9.99 ,$8.99 ,0%,0,,
RPG Maker MV - TOKIWA GRAPHICS Battle BG No.2 Woods/Riverside,['win'/ 'mac'/ 'lin'],,$9.99 ,$8.99 ,0%,0,,
RPG Maker MV - TOKIWA GRAPHICS Battle BG No.3 Rocks/Cliff,['win'/ 'mac'/ 'lin'],-39%,$9.99 ,$8.99 ,0%,0,,
RPG Maker MV - TOKIWA GRAPHICS Battle BG No.1 Village/Field,['win'/ 'mac'/ 'lin'],,$9.99 ,$8.99 ,0%,0,,
Medieval Battle: Europe,['win'/ 'mac'],-53%,$9.99 ,$8.99 ,0%,0,,
Survivor in Summer,['win'],,$1.99 ,$1.49 ,0%,0,,
Little Adventurer II,['win'],,$0.99 ,$0.61 ,0%,0,,
BRIGHTEST,['win'],-49%,$1.99 ,$1.49 ,0%,0,,
Age of Fear: Concept Art Book,['win'/ 'mac'/ 'lin'],,$3.99 ,$1.99 ,0%,0,,
GameGuru - Construction Site Pack,['win'],,$29.99 ,$20.99 ,0%,0,,
FortOfTheNight,['win'],,$5.99 ,$5.39 ,0%,0,,
DeerHunterX,['win'],-39%,$1.99 ,$1.79 ,0%,0,,
Magicka: Party Robes DLC,['win'],-57%,$1.99 ,$0.99 ,0%,0,,
Coinon,['win'],-11%,$10.99 ,$9.89 ,0%,0,,
Piatka,['win'],-34%,$0.99 ,$0.59 ,0%,0,,
Ishin no Arashi / 維新の嵐,['win'],-82%,$12.99 ,$9.09 ,0%,0,,
