Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount,,
Rocket League®  - The Fate of the Furious™ Ice Charger,['win'/ 'mac'/ 'lin'],-50%,$1.99 ,$0.99 ,89%,452,,
RAGE Software,['win'],,$19.94 ,$13.46 ,78%,452,,
Blackguards 2,['win'/ 'mac'],-84%,$14.99 ,$2.99 ,63%,447,,
Warhammer: Vermintide 2 - Shadows Over Bögenhafen,['win'],-25%,$9.99 ,$7.49 ,42%,440,,
Horror Bundle,['win'],,$45.95 ,$37.52 ,57%,418,,
QuiVr Complete,['win'/ 'hmd'/ 'htc'/ 'ocu'/ 'win'],,$34.98 ,$18.22 ,92%,414,,
Manual Samuel Game and Soundtrack Bundle,['win'/ 'mac'/ 'lin'],-20%,,,82%,409,,
Civilization VI - Persia and Macedon Civilization & Scenario Pack,['win'/ 'mac'/ 'lin'],-70%,$8.99 ,$6.02 ,35%,407,,
New York Mysteries Collection,['win'/ 'mac'],-80%,$20.97 ,$13.95 ,91%,405,,
Valhalla Hills: Two-Horned Helmet Edition,['win'/ 'mac'/ 'lin'],-40%,$19.99 ,$2.99 ,58%,399,,
Valhalla Hills,['win'/ 'mac'/ 'lin'],-90%,$14.99 ,$2.24 ,57%,394,,
Romance of the Three Kingdoms 11 with Power Up Kit / 三國志11 with パワーアップキット,['win'],-30%,$39.99 ,$27.99 ,89%,382,,
Rocket League® - Chaos Run DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,92%,365,,
8-Bit Hordes Complete Edition,['win'],-45%,$18.98 ,$7.97 ,81%,365,,
8-Bit Hordes,['win'],-50%,$14.99 ,$7.34 ,81%,362,,
The Fall of the Dungeon Guardians - Enhanced Edition,['win'/ 'mac'/ 'lin'],-66%,$19.99 ,$6.79 ,85%,354,,
Limited Edition Deluxe Indie Bundle,['win'],-30%,,,44%,351,,
Rocket League® - Revenge of the Battle-Cars DLC Pack,['win'/ 'mac'/ 'lin'],-50%,$3.99 ,$1.99 ,93%,349,,
Rocket League® - DC Super Heroes DLC Pack,['win'/ 'mac'/ 'lin'],-28%,$3.99 ,$1.99 ,82%,334,,
Hentai Temple,['win'],-90%,$0.99 ,$0.49 ,72%,327,,
